Field,final_rank,trace
semantics,32.0,29.71211116936153
context,32.0,29.71211116936153
metric,32.0,29.71211116936153
transformation,32.0,29.712111169361524
desire,32.0,29.71211116936153
ethics,32.0,29.71211116936153
emotion,32.0,29.71211116936153
value,32.0,29.71211116936153
learning,32.0,29.71211116936154
memory,32.0,29.71211116936153
metacognition,32.0,29.71211116936153
meta_update,32.0,29.71211116936153
self_reference,32.0,29.71211116936153
awareness,32.0,29.71211116936153
strategy,32.0,29.71211116936153
social,32.0,29.71211116936153
